"logFC" "t" "P.Value" "adj.P.Val" "B"
"Pdzrn3" 0.866649602886967 9.13537977027126 2.9572162264619e-12 3.21250244356259e-10 17.5578016078383
"Gdf11" 0.368702635724576 9.13137870542218 2.99856984000985e-12 3.21370213255821e-10 17.5550571493577
"Pear1" 1.16203259599413 9.08173147372019 3.56295334542454e-12 3.67076141761835e-10 17.5032873975232
"Cubn" 2.58097371696547 9.13285686244581 2.98322462127451e-12 3.21370213255821e-10 17.420895208706
"Prss12" -2.80126684899811 -9.02959617469964 4.27146118078551e-12 4.34464736280025e-10 17.3872496591903
"Brinp2" -0.804641860278192 -9.09481768529787 3.40453783565802e-12 3.53032887646902e-10 17.375855383857
"Tagln" 2.40707015952395 9.01418170365911 4.5069991704715e-12 4.52655784611695e-10 17.3478258521206
"Rxfp1" -1.65920853462787 -8.99741998500367 4.77801607170636e-12 4.70988510179499e-10 17.2905924843622
"Tgfbi" 2.2762491301862 8.99867454509565 4.75717428187381e-12 4.70988510179499e-10 17.2698967745194
"Ubash3a" -2.94704398802061 -9.10285865712091 3.31074015756441e-12 3.45550389386576e-10 17.2635551498716
"Il6st" 0.703655519466263 9.04430917763611 4.058223083088e-12 4.15421566755335e-10 17.1983728842835
"Fam110b" -0.573590042613526 -9.02566548585978 4.33031799076954e-12 4.37663594902524e-10 17.1618276970314
"Rspo2" -1.58944776963314 -8.96281106739201 5.39074160093784e-12 5.15477560630996e-10 17.158092112046
"Stambpl1" -0.562248681546177 -9.00147051623207 4.71105444759034e-12 4.70192677959814e-10 17.1455744867452
"Stom" 0.987909001855816 8.95160362336935 5.60568351545193e-12 5.32840238441975e-10 17.1278432714963
"Pros1" 1.11162731642875 8.94626473051666 5.7110933233949e-12 5.39647628883391e-10 17.0783989072007
"Axl" 0.744388310095794 8.97989107376878 5.07903800647151e-12 4.92397632048413e-10 17.0485345564711
"Rftn1" -1.49866541028877 -8.91261674015599 6.42300261163980e-12 5.96330980844628e-10 16.9903631387951
"Itgb1" 0.682896792611032 8.97940186390237 5.08770801477789e-12 4.92397632048413e-10 16.9708098172652
"Apoe" 0.82762717219558 8.97367192047077 5.1903745164214e-12 4.99307775016466e-10 16.9348556065497
"Gtdc1" -0.617657178129627 -8.92289002097057 6.19663791041951e-12 5.82083004655819e-10 16.8805934847221
"Lingo2" 0.74798732930602 8.89621325886571 6.80185372171717e-12 6.2067886904058e-10 16.8359716015353
"Ramp3" -1.17200655474506 -8.86700467752756 7.53310104073909e-12 6.75820733255969e-10 16.8126472495117
"Alpl" 1.41036448347634 8.86812134961751 7.5037391225232e-12 6.75820733255969e-10 16.7934266089568
"Slc27a1" 0.554131228584716 8.91382340954594 6.39598819833798e-12 5.96330980844628e-10 16.7634091445968
"Fermt2" 0.432110237621934 8.90111843281989 6.68626250008611e-12 6.136375049648e-10 16.7024415949803
"Fkbp10" 1.29825567524328 8.83433847629868 8.44524117984828e-12 7.45094234259653e-10 16.6914942454105
"Slc22a2" 2.91979672167599 8.99225209577598 4.86484451400893e-12 4.76605534013549e-10 16.6835451362543
"Serinc2" -1.40970773716669 -8.82492761936402 8.72811834122596e-12 7.65820449401304e-10 16.6670465313156
"Aspg" 3.54907298518544 8.90537408293397 6.58758248480555e-12 6.08075749710172e-10 16.6509926580475
"Sfrp1" 2.24933812845132 8.82022851189201 8.87292208081748e-12 7.74271544855598e-10 16.6344528080993
"Rasal1" -0.768644285817226 -8.84970871326699 8.00295791508216e-12 7.13962206401939e-10 16.5253284853842
"Gpr68" -1.1023086333894 -8.77022064043996 1.05723339748508e-11 8.70255676517489e-10 16.5118202889696
"Grb10" 0.793005750980462 8.83532035632506 8.41626469054349e-12 7.45094234259653e-10 16.4959364065941
"Sema4a" -0.658311725908151 -8.80177155302705 9.46549609196681e-12 8.00253611781695e-10 16.4361464277091
"Foxc2" 4.20218697995233 8.81579720299312 9.01169106253614e-12 7.82107035748042e-10 16.4205826129371
